@relation sounds

@attribute onset numeric
@attribute onset_diff numeric
@attribute sal numeric
@attribute prob numeric
@attribute name {Areen,Daniel,Eryn,Faisal,Jin,Li,Peter,Sandhya,Sanjay,Xiao,Yafang,Yang,Unknown}

@data
0.549732,0,5.511502,0.833303,Sandhya
0.996717,0.446984,3.811089,0.848975,Sandhya
1.95454,0.957823,3.864637,0.862536,Sandhya
4.27073,2.31619,5.430864,0.856051,Sandhya
6.012227,1.741497,4.550097,0.920633,Sandhya
7.411229,1.399003,2.866172,0.90827,Sandhya
13.059483,5.648253,6.299835,0.827317,Sandhya
13.436808,0.377325,18.644396,0.865447,Sandhya
13.785107,0.348299,8.382839,0.823343,Sandhya
14.081161,0.296054,11.675922,0.866189,Sandhya
14.464291,0.38313,7.418162,0.924597,Sandhya
15.166694,0.702403,4.601088,0.883082,Sandhya
15.752997,0.586304,7.97961,0.817342,Sandhya
16.031637,0.27864,15.080994,0.822106,Sandhya
16.94302,0.911383,4.378125,0.852471,Sandhya
17.355175,0.412155,14.794554,0.822352,Sandhya
17.6164,0.261225,13.149319,0.927825,Sandhya
18.382658,0.766258,21.524197,0.928514,Sandhya
20.26928,1.886621,11.473077,0.906825,Sandhya
20.629189,0.359909,21.267448,0.969199,Sandhya
0.549732,0.359909,5.511502,0.982181,Sandhya
0.996717,0.446984,3.811089,0.982035,Sandhya
1.95454,0.957823,3.864637,0.95998,Sandhya
4.27073,2.31619,5.430864,0.96269,Sandhya
6.012227,1.741497,4.550097,0.943273,Sandhya
7.411229,1.399003,2.866172,0.931988,Sandhya
13.059483,5.648253,6.299835,0.937932,Sandhya
13.436808,0.377325,18.644396,0.920059,Sandhya
